datetime,priceUSD,activeAddresses,adjustedVolume,paymentCount,exchangeVolume,priceBTC
2018-07-29,0.9746640841,1.3914184826,-0.1567781669,0.8014511751,0.4321276323,0.6012700545
2018-07-30,0.9743278733,1.5098499182,0.3522648909,0.9885541196,0.8032822445,0.597265754
2018-07-31,0.938540101,1.5024297016,1.0787759977,1.0765669321,0.5695920264,0.5675482366
2018-08-01,0.8512000053,1.5083831312,0.2673351154,1.025102677,0.6186588891,0.566069932
2018-08-02,0.8024120818,1.4759014317,0.2817518568,0.839049289,0.3865343248,0.5419060639
2018-08-03,0.7716301148,1.6368365052,0.1026418486,0.943339224,0.4979797487,0.5230739868
2018-08-04,0.7928113955,1.2889491408,-0.0983919062,0.6408810198,0.3117033541,0.5787173211
2018-08-05,0.7521298881,1.1555644423,-0.1465119411,0.7146078685,0.2609324776,0.6357859827
2018-08-06,0.7641587636,1.3377845199,0.0379398763,0.7897861039,0.2522376373,0.6422771868
2018-08-07,0.7500752665,1.1260428649,0.1345825118,0.7217448529,0.5751774054,0.6533606244
2018-08-08,0.6495482359,0.8699458366,0.4747936218,0.77022237,0.7118844717,0.5814254765
2018-08-09,0.563926551,0.8164247036,0.1533497203,0.6679835684,0.4209859911,0.5916235332
2018-08-10,0.5968378531,1.0584379219,0.2960786618,0.7839385746,0.4812745865,0.5599384703
2018-08-11,0.4790893579,1.2352554447,0.1450595314,0.7308370113,0.5475199486,0.5057064856
2018-08-12,0.4288818778,1.225027758,-0.1893143753,0.6360770496,0.4274015307,0.4062689748
2018-08-13,0.4266031156,1.3366163999,0.5134265,0.8380357173,0.5189886384,0.3875576095
2018-08-14,0.3001878531,1.2210123456,0.6497252723,0.9058190772,0.8005587351,0.2223851513
2018-08-15,0.2778485129,1.1727145672,0.2643477155,0.7447451348,0.6114423173,0.2064949671
2018-08-16,0.2866273506,1.3518948781,-0.0405372325,0.8173024775,0.3746426379,0.2015577671
2018-08-17,0.3050815881,1.0643448922,0.102008151,0.7554506114,0.6968687592,0.2165170981
2018-08-18,0.4138271051,1.0193921847,-0.1569280426,0.4581682204,0.5283315866,0.3082800948
2018-08-19,0.3349296362,0.9807977665,-0.3020730968,0.4137389928,0.2981367817,0.2387773415
2018-08-20,0.3562603439,1.2076917957,-0.0365633867,0.7571778816,0.2732902196,0.2496680752
2018-08-21,0.2514746431,0.960342393,-0.0904391169,0.5691633223,0.091477759,0.1501061138
2018-08-22,0.2837508804,1.0213633871,0.0422308364,0.5504332362,0.3416473938,0.1532293616
